year,round,category,is_pwd,quota,gender,institute_type,institute_name,branch,opening_rank,closing_rank
2023,1,OPEN,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",49868,58067
2023,1,OPEN,0,AI,Female-only,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",57456,57456
2023,1,OPEN,1,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",1138,1138
2023,1,EWS,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",9696,10211
2023,1,OBC-NCL,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",19191,20253
2023,1,OBC-NCL,0,AI,Female-only,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",19132,19132
2023,1,SC,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",9206,9678
2023,1,ST,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",3833,4287
2023,1,OPEN,0,HS,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",82975,100501
2023,1,OPEN,0,HS,Female-only,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",87398,87398
2023,1,EWS,0,HS,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",17867,19603
2023,1,OBC-NCL,0,HS,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",39764,49879
2023,1,OBC-NCL,0,HS,Female-only,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",51085,51085
2023,1,SC,0,HS,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",12614,16200
2023,1,SC,0,HS,Female-only,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",14169,14169
2023,1,ST,0,HS,Gender-Neutral,GFTI,"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)",4382,5525
2023,1,OPEN,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",27106,37990
2023,1,OPEN,0,AI,Female-only,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",34513,34513
2023,1,OPEN,1,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",1573,1573
2023,1,EWS,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",5967,6432
2023,1,OBC-NCL,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",11654,13377
2023,1,OBC-NCL,0,AI,Female-only,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",15597,15597
2023,1,SC,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",4463,7257
2023,1,ST,0,AI,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",1540,2581
2023,1,OPEN,0,HS,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",65609,71176
2023,1,OPEN,0,HS,Female-only,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",60807,60807
2023,1,OPEN,1,HS,Gender-Neutral,GFTI,"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",2883,2883
